AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress
1315,5,13,Crystal Bay - Kigali Province,"Main Street, Kigali Province, Rwanda"
1316,5,64,Science Museum - Kigali Province,"Main Street, Kigali Province, Rwanda"
1317,5,76,Cathedral - Kigali Province,"Main Street, Kigali Province, Rwanda"
1318,4,13,Golden Sand Beach - Kigali,"Main Street, Kigali, Rwanda"
1319,4,76,Grand Mosque - Kigali,"Main Street, Kigali, Rwanda"
1320,4,34,Local Bazaar - Kigali,"Main Street, Kigali, Rwanda"
1321,4,64,Cultural Heritage Center - Kigali,"Main Street, Kigali, Rwanda"
1322,6,13,Sunset Cove - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1323,6,91,National Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1324,6,34,Farmers' Market - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1325,6,91,Eco Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1326,7,76,Ancient Temple - Karen,"Main Street, Karen, Kenya"
1327,7,91,National Park - Karen,"Main Street, Karen, Kenya"
1328,7,76,Cathedral - Karen,"Main Street, Karen, Kenya"
1329,7,13,Golden Sand Beach - Karen,"Main Street, Karen, Kenya"
1330,8,76,Cathedral - Kenya,"Main Street, Kenya, Kenya"
1331,8,64,Cultural Heritage Center - Kenya,"Main Street, Kenya, Kenya"
1332,8,13,Crystal Bay - Kenya,"Main Street, Kenya, Kenya"
1333,8,76,Grand Mosque - Kenya,"Main Street, Kenya, Kenya"
1334,12,76,Sacred Shrine - Shimoni,"Main Street, Shimoni, Kenya"
1335,12,76,Ancient Temple - Shimoni,"Main Street, Shimoni, Kenya"
1336,12,76,Cathedral - Shimoni,"Main Street, Shimoni, Kenya"
1337,12,64,History Museum - Shimoni,"Main Street, Shimoni, Kenya"
1338,18,34,Local Bazaar - Mauritius,"Main Street, Mauritius, Mauritius"
1339,18,91,National Park - Mauritius,"Main Street, Mauritius, Mauritius"
1340,18,34,Night Market - Mauritius,"Main Street, Mauritius, Mauritius"
1341,18,13,Paradise Beach - Mauritius,"Main Street, Mauritius, Mauritius"
1342,13,34,Farmers' Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1343,13,64,History Museum - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1344,13,34,Flea Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1345,13,76,Grand Mosque - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1346,22,64,History Museum - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1347,22,76,Sacred Shrine - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1348,22,13,Golden Sand Beach - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1349,22,13,Sunset Cove - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1350,24,34,Farmers' Market - Cerf Island,"Main Street, Cerf Island, Seychelles"
1351,24,34,Local Bazaar - Cerf Island,"Main Street, Cerf Island, Seychelles"
1352,24,76,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles"
1353,24,76,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles"
1354,25,34,Night Market - Mahe Island,"Main Street, Mahe Island, Seychelles"
1355,25,76,Cathedral - Mahe Island,"Main Street, Mahe Island, Seychelles"
1356,25,64,History Museum - Mahe Island,"Main Street, Mahe Island, Seychelles"
1357,25,76,Sacred Shrine - Mahe Island,"Main Street, Mahe Island, Seychelles"
1358,26,91,Botanical Garden - Victoria,"Main Street, Victoria, Seychelles"
1359,26,13,Sunset Cove - Victoria,"Main Street, Victoria, Seychelles"
1360,26,64,Cultural Heritage Center - Victoria,"Main Street, Victoria, Seychelles"
1361,26,64,Science Museum - Victoria,"Main Street, Victoria, Seychelles"
1362,28,34,Night Market - Port Sudan,"Main Street, Port Sudan, Sudan"
1363,28,34,Farmers' Market - Port Sudan,"Main Street, Port Sudan, Sudan"
1364,28,64,Science Museum - Port Sudan,"Main Street, Port Sudan, Sudan"
1365,28,13,Sunset Cove - Port Sudan,"Main Street, Port Sudan, Sudan"
1366,30,34,Farmers' Market - Sudan,"Main Street, Sudan, Sudan"
1367,30,91,Botanical Garden - Sudan,"Main Street, Sudan, Sudan"
1368,30,64,History Museum - Sudan,"Main Street, Sudan, Sudan"
1369,30,13,Golden Sand Beach - Sudan,"Main Street, Sudan, Sudan"
1370,27,13,Golden Sand Beach - Khartoum,"Main Street, Khartoum, Sudan"
1371,27,91,Botanical Garden - Khartoum,"Main Street, Khartoum, Sudan"
1372,27,13,Paradise Beach - Khartoum,"Main Street, Khartoum, Sudan"
1373,27,91,Eco Park - Khartoum,"Main Street, Khartoum, Sudan"
1374,31,34,Night Market - Arusha,"Main Street, Arusha, Tanzania"
1375,31,34,Flea Market - Arusha,"Main Street, Arusha, Tanzania"
1376,31,34,Farmers' Market - Arusha,"Main Street, Arusha, Tanzania"
1377,31,34,Night Market - Arusha,"Main Street, Arusha, Tanzania"
1378,32,13,Golden Sand Beach - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1379,32,76,Cathedral - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1380,32,91,National Park - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1381,32,13,Crystal Bay - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1382,36,91,Wildlife Reserve - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1383,36,34,Flea Market - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1384,36,13,Crystal Bay - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1385,36,13,Golden Sand Beach - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1386,37,76,Sacred Shrine - Kampala,"Main Street, Kampala, Uganda"
1387,37,76,Grand Mosque - Kampala,"Main Street, Kampala, Uganda"
1388,37,91,Botanical Garden - Kampala,"Main Street, Kampala, Uganda"
1389,37,13,Crystal Bay - Kampala,"Main Street, Kampala, Uganda"
1390,39,13,Sunset Cove - Lusaka,"Main Street, Lusaka, Zambia"
1391,39,64,Cultural Heritage Center - Lusaka,"Main Street, Lusaka, Zambia"
1392,39,64,Art Gallery - Lusaka,"Main Street, Lusaka, Zambia"
1393,39,76,Ancient Temple - Lusaka,"Main Street, Lusaka, Zambia"
1394,42,64,History Museum - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1395,42,13,Golden Sand Beach - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1396,42,64,Cultural Heritage Center - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1397,42,91,National Park - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1398,40,34,Flea Market - Solwezi,"Main Street, Solwezi, Zambia"
1399,40,76,Grand Mosque - Solwezi,"Main Street, Solwezi, Zambia"
1400,40,64,Science Museum - Solwezi,"Main Street, Solwezi, Zambia"
1401,40,91,Eco Park - Solwezi,"Main Street, Solwezi, Zambia"
1402,43,34,Local Bazaar - Harare,"Main Street, Harare, Zimbabwe"
1403,43,13,Golden Sand Beach - Harare,"Main Street, Harare, Zimbabwe"
1404,43,64,Science Museum - Harare,"Main Street, Harare, Zimbabwe"
1405,43,64,History Museum - Harare,"Main Street, Harare, Zimbabwe"
1406,45,13,Paradise Beach - Algiers,"Main Street, Algiers, Algeria"
1407,45,13,Crystal Bay - Algiers,"Main Street, Algiers, Algeria"
1408,45,34,Flea Market - Algiers,"Main Street, Algiers, Algeria"
1409,45,76,Ancient Temple - Algiers,"Main Street, Algiers, Algeria"
1410,47,91,Eco Park - Oran,"Main Street, Oran, Algeria"
1411,47,13,Golden Sand Beach - Oran,"Main Street, Oran, Algeria"
1412,47,64,Cultural Heritage Center - Oran,"Main Street, Oran, Algeria"
1413,47,34,Farmers' Market - Oran,"Main Street, Oran, Algeria"
1414,44,64,Art Gallery - Alger,"Main Street, Alger, Algeria"
1415,44,34,Night Market - Alger,"Main Street, Alger, Algeria"
1416,44,34,Night Market - Alger,"Main Street, Alger, Algeria"
1417,44,91,Botanical Garden - Alger,"Main Street, Alger, Algeria"
1418,48,76,Cathedral - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1419,48,76,Sacred Shrine - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1420,48,13,Paradise Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1421,48,13,Golden Sand Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1422,49,76,Ancient Temple - Al Rehab,"Main Street, Al Rehab, Egypt"
1423,49,34,Flea Market - Al Rehab,"Main Street, Al Rehab, Egypt"
1424,49,91,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt"
1425,49,91,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt"
1426,56,34,Flea Market - El Alamein,"Main Street, El Alamein, Egypt"
1427,56,34,Local Bazaar - El Alamein,"Main Street, El Alamein, Egypt"
1428,56,76,Grand Mosque - El Alamein,"Main Street, El Alamein, Egypt"
1429,56,64,History Museum - El Alamein,"Main Street, El Alamein, Egypt"
1430,73,76,Cathedral - Oujda,"Main Street, Oujda, Morocco"
1431,73,64,Cultural Heritage Center - Oujda,"Main Street, Oujda, Morocco"
1432,73,76,Grand Mosque - Oujda,"Main Street, Oujda, Morocco"
1433,73,13,Crystal Bay - Oujda,"Main Street, Oujda, Morocco"
1434,67,34,Farmers' Market - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1435,67,64,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1436,67,64,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1437,67,64,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1438,71,76,Sacred Shrine - Merzouga,"Main Street, Merzouga, Morocco"
1439,71,76,Sacred Shrine - Merzouga,"Main Street, Merzouga, Morocco"
1440,71,91,Wildlife Reserve - Merzouga,"Main Street, Merzouga, Morocco"
1441,71,64,Art Gallery - Merzouga,"Main Street, Merzouga, Morocco"
1442,75,64,Science Museum - Bizerte,"Main Street, Bizerte, Tunisia"
1443,75,13,Crystal Bay - Bizerte,"Main Street, Bizerte, Tunisia"
1444,75,64,Art Gallery - Bizerte,"Main Street, Bizerte, Tunisia"
1445,75,91,National Park - Bizerte,"Main Street, Bizerte, Tunisia"
1446,76,64,Art Gallery - Carthage,"Main Street, Carthage, Tunisia"
1447,76,34,Night Market - Carthage,"Main Street, Carthage, Tunisia"
1448,76,34,Local Bazaar - Carthage,"Main Street, Carthage, Tunisia"
1449,76,76,Ancient Temple - Carthage,"Main Street, Carthage, Tunisia"
1450,80,13,Crystal Bay - Tunis,"Main Street, Tunis, Tunisia"
1451,80,64,History Museum - Tunis,"Main Street, Tunis, Tunisia"
1452,80,13,Sunset Cove - Tunis,"Main Street, Tunis, Tunisia"
1453,80,76,Sacred Shrine - Tunis,"Main Street, Tunis, Tunisia"
1454,82,76,Grand Mosque - Luanda,"Main Street, Luanda, Angola"
1455,82,76,Sacred Shrine - Luanda,"Main Street, Luanda, Angola"
1456,82,13,Sunset Cove - Luanda,"Main Street, Luanda, Angola"
1457,82,76,Grand Mosque - Luanda,"Main Street, Luanda, Angola"
1458,84,76,Cathedral - Gaborone,"Main Street, Gaborone, Botswana"
1459,84,13,Sunset Cove - Gaborone,"Main Street, Gaborone, Botswana"
1460,84,76,Ancient Temple - Gaborone,"Main Street, Gaborone, Botswana"
1461,84,64,Art Gallery - Gaborone,"Main Street, Gaborone, Botswana"
1462,83,64,Science Museum - Botswana,"Main Street, Botswana, Botswana"
1463,83,64,Cultural Heritage Center - Botswana,"Main Street, Botswana, Botswana"
1464,83,91,Wildlife Reserve - Botswana,"Main Street, Botswana, Botswana"
1465,83,13,Sunset Cove - Botswana,"Main Street, Botswana, Botswana"
1466,85,76,Cathedral - Chintheche,"Main Street, Chintheche, Malawi"
1467,85,13,Crystal Bay - Chintheche,"Main Street, Chintheche, Malawi"
1468,85,91,Wildlife Reserve - Chintheche,"Main Street, Chintheche, Malawi"
1469,85,64,Cultural Heritage Center - Chintheche,"Main Street, Chintheche, Malawi"
1470,87,64,Cultural Heritage Center - Mozambique,"Main Street, Mozambique, Mozambique"
1471,87,34,Flea Market - Mozambique,"Main Street, Mozambique, Mozambique"
1472,87,13,Golden Sand Beach - Mozambique,"Main Street, Mozambique, Mozambique"
1473,87,34,Flea Market - Mozambique,"Main Street, Mozambique, Mozambique"
1474,89,34,Flea Market - Tofinho,"Main Street, Tofinho, Mozambique"
1475,89,76,Ancient Temple - Tofinho,"Main Street, Tofinho, Mozambique"
1476,89,64,Cultural Heritage Center - Tofinho,"Main Street, Tofinho, Mozambique"
1477,89,91,National Park - Tofinho,"Main Street, Tofinho, Mozambique"
1478,86,13,Paradise Beach - Maputo,"Main Street, Maputo, Mozambique"
1479,86,13,Paradise Beach - Maputo,"Main Street, Maputo, Mozambique"
1480,86,91,National Park - Maputo,"Main Street, Maputo, Mozambique"
1481,86,34,Night Market - Maputo,"Main Street, Maputo, Mozambique"
1482,90,64,Cultural Heritage Center - Swakopmund,"Main Street, Swakopmund, Namibia"
1483,90,34,Farmers' Market - Swakopmund,"Main Street, Swakopmund, Namibia"
1484,90,13,Sunset Cove - Swakopmund,"Main Street, Swakopmund, Namibia"
1485,90,34,Local Bazaar - Swakopmund,"Main Street, Swakopmund, Namibia"
1486,91,64,Science Museum - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1487,91,91,Wildlife Reserve - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1488,91,64,Art Gallery - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1489,91,64,Art Gallery - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1490,92,34,Flea Market - Windhoek,"Main Street, Windhoek, Namibia"
1491,92,13,Crystal Bay - Windhoek,"Main Street, Windhoek, Namibia"
1492,92,64,Science Museum - Windhoek,"Main Street, Windhoek, Namibia"
1493,92,91,Botanical Garden - Windhoek,"Main Street, Windhoek, Namibia"
1494,137,34,Night Market - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1495,137,91,Wildlife Reserve - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1496,137,13,Crystal Bay - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1497,137,64,Science Museum - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1498,140,64,Art Gallery - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1499,140,91,Wildlife Reserve - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1500,140,64,Cultural Heritage Center - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1501,140,76,Cathedral - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1502,97,91,National Park - Benoni,"Main Street, Benoni, South Africa"
1503,97,91,Eco Park - Benoni,"Main Street, Benoni, South Africa"
1504,97,91,Eco Park - Benoni,"Main Street, Benoni, South Africa"
1505,97,91,Eco Park - Benoni,"Main Street, Benoni, South Africa"
1506,213,76,Grand Mosque - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1507,213,64,Art Gallery - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1508,213,91,National Park - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1509,213,34,Night Market - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1510,214,34,Farmers' Market - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1511,214,34,Local Bazaar - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1512,214,13,Golden Sand Beach - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1513,214,76,Grand Mosque - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1514,215,76,Grand Mosque - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1515,215,13,Golden Sand Beach - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1516,215,13,Golden Sand Beach - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1517,215,91,Wildlife Reserve - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1518,217,34,Night Market - Kumasi,"Main Street, Kumasi, Ghana"
1519,217,76,Grand Mosque - Kumasi,"Main Street, Kumasi, Ghana"
1520,217,34,Local Bazaar - Kumasi,"Main Street, Kumasi, Ghana"
1521,217,13,Crystal Bay - Kumasi,"Main Street, Kumasi, Ghana"
1522,216,91,National Park - Accra,"Main Street, Accra, Ghana"
1523,216,13,Crystal Bay - Accra,"Main Street, Accra, Ghana"
1524,216,34,Farmers' Market - Accra,"Main Street, Accra, Ghana"
1525,216,64,Cultural Heritage Center - Accra,"Main Street, Accra, Ghana"
1526,219,91,Eco Park - Ilorin,"Main Street, Ilorin, NIGERIA"
1527,219,34,Flea Market - Ilorin,"Main Street, Ilorin, NIGERIA"
1528,219,64,History Museum - Ilorin,"Main Street, Ilorin, NIGERIA"
1529,219,34,Farmers' Market - Ilorin,"Main Street, Ilorin, NIGERIA"
1530,222,76,Cathedral - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1531,222,64,Science Museum - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1532,222,34,Flea Market - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1533,222,64,Art Gallery - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1534,220,34,Night Market - Lagos,"Main Street, Lagos, NIGERIA"
1535,220,91,Eco Park - Lagos,"Main Street, Lagos, NIGERIA"
1536,220,13,Crystal Bay - Lagos,"Main Street, Lagos, NIGERIA"
1537,220,34,Night Market - Lagos,"Main Street, Lagos, NIGERIA"
1538,224,91,National Park - Saly,"Main Street, Saly, Senegal"
1539,224,34,Local Bazaar - Saly,"Main Street, Saly, Senegal"
1540,224,76,Ancient Temple - Saly,"Main Street, Saly, Senegal"
1541,224,91,Wildlife Reserve - Saly,"Main Street, Saly, Senegal"
1542,223,13,Paradise Beach - Dakar,"Main Street, Dakar, Senegal"
1543,223,34,Local Bazaar - Dakar,"Main Street, Dakar, Senegal"
1544,223,76,Cathedral - Dakar,"Main Street, Dakar, Senegal"
1545,223,76,Sacred Shrine - Dakar,"Main Street, Dakar, Senegal"
1546,225,34,Local Bazaar - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1547,225,91,Botanical Garden - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1548,225,34,Local Bazaar - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1549,225,91,Wildlife Reserve - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1550,227,34,Night Market - New Providence Island,"Main Street, New Providence Island, Bahamas"
1551,227,76,Grand Mosque - New Providence Island,"Main Street, New Providence Island, Bahamas"
1552,227,34,Night Market - New Providence Island,"Main Street, New Providence Island, Bahamas"
1553,227,13,Crystal Bay - New Providence Island,"Main Street, New Providence Island, Bahamas"
1554,226,64,Cultural Heritage Center - Nassau,"Main Street, Nassau, Bahamas"
1555,226,76,Cathedral - Nassau,"Main Street, Nassau, Bahamas"
1556,226,91,Eco Park - Nassau,"Main Street, Nassau, Bahamas"
1557,226,76,Grand Mosque - Nassau,"Main Street, Nassau, Bahamas"
1558,229,91,Wildlife Reserve - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1559,229,34,Local Bazaar - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1560,229,64,Science Museum - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1561,229,13,Golden Sand Beach - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1562,228,76,Cathedral - Bridgetown,"Main Street, Bridgetown, Barbados"
1563,228,91,Eco Park - Bridgetown,"Main Street, Bridgetown, Barbados"
1564,228,91,National Park - Bridgetown,"Main Street, Bridgetown, Barbados"
1565,228,64,Art Gallery - Bridgetown,"Main Street, Bridgetown, Barbados"
1566,230,64,History Museum - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1567,230,91,Botanical Garden - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1568,230,64,Science Museum - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1569,230,64,Art Gallery - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1570,231,64,Science Museum - Havana,"Main Street, Havana, Cuba"
1571,231,34,Farmers' Market - Havana,"Main Street, Havana, Cuba"
1572,231,34,Local Bazaar - Havana,"Main Street, Havana, Cuba"
1573,231,64,Art Gallery - Havana,"Main Street, Havana, Cuba"
1574,232,91,Eco Park - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1575,232,34,Local Bazaar - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1576,232,76,Cathedral - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1577,232,64,Cultural Heritage Center - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1578,233,76,Cathedral - Curacao,"Main Street, Curacao, Curacao"
1579,233,64,Science Museum - Curacao,"Main Street, Curacao, Curacao"
1580,233,64,History Museum - Curacao,"Main Street, Curacao, Curacao"
1581,233,76,Cathedral - Curacao,"Main Street, Curacao, Curacao"
1582,234,76,Sacred Shrine - Willemstad,"Main Street, Willemstad, Curacao"
1583,234,34,Flea Market - Willemstad,"Main Street, Willemstad, Curacao"
1584,234,91,Botanical Garden - Willemstad,"Main Street, Willemstad, Curacao"
1585,234,34,Local Bazaar - Willemstad,"Main Street, Willemstad, Curacao"
1586,235,64,Science Museum - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1587,235,76,Ancient Temple - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1588,235,76,Grand Mosque - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1589,235,91,National Park - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1590,236,34,Flea Market - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1591,236,13,Paradise Beach - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1592,236,13,Golden Sand Beach - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1593,236,34,Flea Market - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1594,237,76,Cathedral - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1595,237,91,Botanical Garden - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1596,237,76,Ancient Temple - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1597,237,64,Art Gallery - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1598,238,34,Farmers' Market - George Town,"Main Street, George Town, Grand Cayman"
1599,238,91,National Park - George Town,"Main Street, George Town, Grand Cayman"
1600,238,34,Flea Market - George Town,"Main Street, George Town, Grand Cayman"
1601,238,34,Farmers' Market - George Town,"Main Street, George Town, Grand Cayman"
1602,239,34,Farmers' Market - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1603,239,13,Sunset Cove - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1604,239,13,Paradise Beach - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1605,239,64,History Museum - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1606,240,13,Crystal Bay - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman"
1607,240,91,National Park - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman"
1608,240,13,Paradise Beach - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman"
1609,240,34,Night Market - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman"
1610,242,13,Sunset Cove - Kingston,"Main Street, Kingston, Jamaica"
1611,242,64,Art Gallery - Kingston,"Main Street, Kingston, Jamaica"
1612,242,76,Sacred Shrine - Kingston,"Main Street, Kingston, Jamaica"
1613,242,64,Art Gallery - Kingston,"Main Street, Kingston, Jamaica"
1614,241,76,Cathedral - Bluefields,"Main Street, Bluefields, Jamaica"
1615,241,76,Grand Mosque - Bluefields,"Main Street, Bluefields, Jamaica"
1616,241,34,Local Bazaar - Bluefields,"Main Street, Bluefields, Jamaica"
1617,241,13,Crystal Bay - Bluefields,"Main Street, Bluefields, Jamaica"
1618,244,13,Crystal Bay - Puerto Rico,"Main Street, Puerto Rico, Puerto Rico"
1619,244,34,Night Market - Puerto Rico,"Main Street, Puerto Rico, Puerto Rico"
1620,244,13,Crystal Bay - Puerto Rico,"Main Street, Puerto Rico, Puerto Rico"
